method_id,nombre_de_la_funcion,firma
0xab9c4b5d,flashLoan,"flashLoan(address,address[],uint256[],uint256[],address,bytes,uint16)"
0xc04a8a10,approveDelegation,"approveDelegation(address,uint256)"
0x66514c97,borrowETH,"borrowETH(address,uint256,uint256,uint16)"
0x02c5fcf8,repayETH,"repayETH(address,uint256,uint256,address)"
0x12aa3caf,swap,"swap(address,(address,address,address,address,uint256,uint256,uint256),bytes,bytes)"
0x617ba037,supply,"supply(address,uint256,address,uint16)"
0xb4ba9e11,claimFor,"claimFor(address,address)"
0x3ff9dcb1,invalidateUnorderedNonces,"invalidateUnorderedNonces(uint256,uint256)"
0x7b939232,depositV3,"depositV3(address,address,address,address,uint256,uint256,uint256,address,uint32,uint32,uint32,bytes)"
0x02751cec,transfer_attention_tg_invmru_3e523b9,"transfer_attention_tg_invmru_3e523b9(bool,uint256,bool)"
0x66cb427c,unstakeAllUnlocked,unstakeAllUnlocked(bytes)
0xb2267a7b,sendMessage,"sendMessage(address,uint256,bytes,uint256)"
0xced78795,addLiquidityWithPermit2,"addLiquidityWithPermit2(address,(address,uint256)[],bytes,uint256,address,bytes,(address,uint256,uint256,uint8,bytes32,bytes32)[])"
0x51905636,sendFrom,"sendFrom(address,uint16,bytes,uint256,address,address,bytes)"
0x94ec6d78,addLiquidity2,"addLiquidity2(address,(address,uint256)[],bytes,uint256,address,bytes)"
0xfefe409d,mintCitizenId,mintCitizenId()
0x410404b7,mintBundle,mintBundle()
0x7ba0e2e7,mint,mint(bytes)
0x40d097c3,safeMint,safeMint(address)
0x2cc4081e,swap,"swap(((address,bytes,address,bytes)[],address,uint256)[],uint256,uint256)"
0x5b7d7482,send_mail,"send_mail(string,string)"
0x80500d20,withdrawETH,"withdrawETH(address,uint256,address)"
0x9c4d535b,create,"create(bytes32,bytes32,bytes)"
0x236300dc,claimRewards,"claimRewards(address[],uint256,address,address)"
0xc002c4d6,getTicket,getTicket()
0x745400c9,requestWithdraw,requestWithdraw(uint256)
0x60806040,_SIMONdotBLACK_,"_SIMONdotBLACK_(int16,uint80,bytes19[],uint56[],bytes29[])"
0x2f52ebb7,claim,"claim(uint256,bytes32[])"
0x3e49fb7e,Register,"Register(string,address)"
0xe84d494b,swapWithPermit,"swapWithPermit(((address,bytes,address,bytes)[],address,uint256)[],uint256,uint256,(address,uint256,uint256,uint8,bytes32,bytes32))"
0x4737576e,mint,"mint(string,bytes)"
0x3d13f874,claim,"claim(address,uint256,bytes32[])"
0xdeadbeef,CodeIsLawZ95677371,CodeIsLawZ95677371()
0x146ca531,round,round()
0x791ac947,_SIMONdotBLACK_,"_SIMONdotBLACK_(int16,uint168,bytes10[],bool,uint40[])"
0x5b0d5984,join_tg_invmru_haha_218e707,join_tg_invmru_haha_218e707(bool)
0xcfd7789c,ZapOut2PairTokenWithPermit,"ZapOut2PairTokenWithPermit(address,uint256,address,bytes)"
0x76122903,claimTokens,"claimTokens(uint256,address,bytes32[])"
0xa22cb465,niceFunctionHerePlzClick943230089,"niceFunctionHerePlzClick943230089(address,bool)"
0x89afcb44,burn,burn(address)
0x322bba21,createOrder,"createOrder((address,address,uint256,uint256,bytes32,uint256,uint32,bool,int64))"
0x0b86a4c1,swapOnUniswapV2Fork,"swapOnUniswapV2Fork(address,uint256,uint256,address,uint256[])"
0xb61d27f6,execute,"execute(address,uint256,bytes)"
0xd9627aa4,sellToUniswap,"sellToUniswap(address[],uint256,uint256,bool)"
0x8af033fb,swapSimpleMode,"swapSimpleMode(address,(address,address,address[],uint256[],address[],uint256[],address,uint256,uint256,uint256,bytes),bytes,bytes)"
0xd85d3d27,mint,mint(string)
